,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,perimeter,eccentricity,orientation,axis_major_length,axis_minor_length
31,0.10834497713495825,290.6170763260026,932.3065976714101,267,922,316,944,1.4118567560687336,0.922518841964408,0.1736409532850477,0.6006645618794092,0.2318277200480049
32,0.09559026443213652,296.5205278592375,343.2302052785924,281,323,314,364,1.3511234216380568,0.9328525728596653,0.9855437515124359,0.5838856614247835,0.21034968381016694
33,0.09951479141762012,290.86619718309856,884.6169014084508,281,862,302,908,1.3518204362755355,0.928403273817011,-1.3941466955323596,0.5871754345740736,0.2181792226561236
34,0.1068031986763754,300.11679790026244,556.988188976378,284,536,319,578,1.4082871208260541,0.9253121221921843,0.9602139040269805,0.6016845471766218,0.22816261736400714
35,0.08297571340736777,299.0185810810811,725.0929054054054,288,705,310,746,1.236303159485314,0.923858274962905,-1.308592931503616,0.5293706192287945,0.20260853086444938
36,0.10414012679336868,316.0444145356662,108.8021534320323,297,91,338,126,1.3776740217223415,0.9234865990850695,0.6678698391194832,0.5916780580330316,0.2269858578056138
37,0.09292719254912979,315.82503770739066,992.947209653092,305,972,327,1015,1.2905942380681106,0.9190664017849509,-1.3521125752979457,0.5511362269355022,0.21720428276858508
38,0.11745548620840235,343.20763723150355,233.16945107398567,318,223,369,245,1.4522775954022746,0.9189835049967015,0.1394853455267415,0.6193368699642152,0.24420203628617698
39,0.11016707894964707,355.1603053435114,196.80661577608143,331,185,380,210,1.4274097375089636,0.9221565003892968,0.31191646362173303,0.6032246220929846,0.23333753653947104
40,0.11521289935955457,358.62895377128956,766.6313868613139,339,748,381,785,1.4209674816610836,0.9178117368611736,0.7150897206974336,0.6098478415491411,0.24211928263051313
41,0.08633959368063944,360.7402597402597,877.5357142857143,340,866,383,890,1.2755341204046282,0.9279637805473661,0.36272175573249166,0.5452018636687589,0.20318059292465526
42,0.10862530049106423,371.8374193548387,646.8077419354838,351,632,395,664,1.3984793805962257,0.9157993053173982,-0.5481191820536239,0.5895839257788001,0.23679824402960875
43,0.09741236624682534,374.0776978417266,1041.9294964028777,355,1026,392,1060,1.2800894832008034,0.9036866346559242,0.7204941213540869,0.5406567324631226,0.23150619914860446
44,0.11633419278397845,375.3843373493976,573.4542168674699,356,552,394,595,1.4683234406192522,0.925938469634716,-0.918966160391457,0.6300773738766036,0.23796409249344247
